<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
RGBI;1;20250813;103300;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103400;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103500;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103600;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103700;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103800;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;103900;121.22;121.22;121.22;121.22;0;0
RGBI;1;20250813;104000;121.22;121.22;121.21;121.21;0;0
RGBI;1;20250813;104100;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104200;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104300;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104400;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104500;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104600;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104700;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104800;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;104900;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105000;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105100;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105200;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105300;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105400;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105500;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105600;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105700;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105800;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;105900;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110000;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110100;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110200;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110300;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110400;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110500;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110600;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110700;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110800;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;110900;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;111000;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;111100;121.21;121.21;121.2;121.2;0;0
RGBI;1;20250813;111200;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;111300;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;111400;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;111500;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;111600;121.21;121.21;121.21;121.21;0;0
RGBI;1;20250813;111700;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;111800;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;111900;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112000;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112100;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112200;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112300;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112400;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112500;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112600;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112700;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112800;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;112900;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113000;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113100;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113200;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113300;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113400;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113500;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113600;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113700;121.2;121.2;121.2;121.2;0;0
RGBI;1;20250813;113800;121.2;121.2;121.19;121.19;0;0
RGBI;1;20250813;113900;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114000;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114100;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114200;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114300;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114400;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114500;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114600;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114700;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114800;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;114900;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;115000;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;115100;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;115200;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;115300;121.19;121.19;121.19;121.19;0;0
RGBI;1;20250813;115400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;115500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;115600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;115700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;115800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;115900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;120900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;121900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;122000;121.18;121.18;121.17;121.17;0;0
RGBI;1;20250813;122100;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;122300;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122400;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122500;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122600;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122700;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122800;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;122900;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;123000;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;123100;121.17;121.18;121.17;121.18;0;0
RGBI;1;20250813;123200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123700;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123800;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;123900;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124000;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124100;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124200;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124300;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124400;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124500;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124600;121.18;121.18;121.18;121.18;0;0
RGBI;1;20250813;124700;121.18;121.18;121.17;121.17;0;0
RGBI;1;20250813;124800;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;124900;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125000;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125100;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125200;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125300;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125400;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125500;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125600;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125700;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125800;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;125900;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130000;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130100;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130200;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130300;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130400;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130500;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130600;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130700;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130800;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;130900;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;131000;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;131100;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;131200;121.17;121.17;121.17;121.17;0;0
RGBI;1;20250813;131300;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;131400;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;131500;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;131600;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;131700;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;131800;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;131900;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132000;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132100;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132200;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132300;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132400;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132500;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132600;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132700;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132800;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;132900;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133000;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133100;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133200;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133300;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133400;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133500;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133600;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133700;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133800;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;133900;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;134000;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;134100;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;134200;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;134300;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;134400;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;134500;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;134600;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;134700;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;134800;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;134900;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135000;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135100;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135200;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135300;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135400;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135500;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135600;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135700;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;135800;121.15;121.16;121.15;121.16;0;0
RGBI;1;20250813;135900;121.15;121.15;121.15;121.15;0;0
RGBI;1;20250813;140000;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140100;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140200;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140300;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140400;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140500;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140600;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140700;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140800;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;140900;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;141000;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;141100;121.16;121.16;121.16;121.16;0;0
RGBI;1;20250813;141200;121.16;121.16;121.16;121.16;0;0
