<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОФЗ 26240;1;20250715;153600;62.088;62.088;62.052;62.052;8;0
ОФЗ 26240;1;20250715;153700;62.052;62.082;62.051;62.081;13;0
ОФЗ 26240;1;20250715;153800;62.052;62.08;62.051;62.051;54;0
ОФЗ 26240;1;20250715;153900;62.08;62.084;62.08;62.084;19;0
ОФЗ 26240;1;20250715;154000;62.08;62.08;62.076;62.076;22;0
ОФЗ 26240;1;20250715;154100;62.076;62.081;62.075;62.081;7;0
ОФЗ 26240;1;20250715;154200;62.077;62.077;62.077;62.077;13;0
ОФЗ 26240;1;20250715;154300;62.074;62.098;62.03;62.094;1013;0
ОФЗ 26240;1;20250715;154400;62.094;62.098;62.094;62.096;20;0
ОФЗ 26240;1;20250715;154500;62.096;62.096;62.096;62.096;25;0
ОФЗ 26240;1;20250715;154600;62.096;62.096;62.096;62.096;2;0
ОФЗ 26240;1;20250715;154700;62.08;62.08;62.039;62.039;9;0
ОФЗ 26240;1;20250715;154800;62.039;62.069;62.022;62.022;23;0
ОФЗ 26240;1;20250715;154900;62.04;62.068;62.04;62.041;79;0
ОФЗ 26240;1;20250715;155000;62.04;62.064;62.01;62.055;1285;0
ОФЗ 26240;1;20250715;155100;62.055;62.066;62.055;62.066;30;0
ОФЗ 26240;1;20250715;155200;62.067;62.07;62.05;62.05;26;0
ОФЗ 26240;1;20250715;155300;62.069;62.069;62.069;62.069;2;0
ОФЗ 26240;1;20250715;155400;62.069;62.069;62.04;62.069;16;0
ОФЗ 26240;1;20250715;155500;62.069;62.069;62.069;62.069;256;0
ОФЗ 26240;1;20250715;155600;62.069;62.069;62.069;62.069;2;0
ОФЗ 26240;1;20250715;155700;62.069;62.069;61.989;62.064;267;0
ОФЗ 26240;1;20250715;155800;62.056;62.056;62.056;62.056;2;0
ОФЗ 26240;1;20250715;155900;62.053;62.054;62;62;146;0
ОФЗ 26240;1;20250715;160000;62.054;62.065;61.986;61.986;24;0
ОФЗ 26240;1;20250715;160100;62;62;62;62;385;0
ОФЗ 26240;1;20250715;160200;62;62;62;62;15;0
ОФЗ 26240;1;20250715;160300;61.999;62;61.989;62;382;0
ОФЗ 26240;1;20250715;160400;62;62;62;62;95;0
ОФЗ 26240;1;20250715;160500;62;62;62;62;1;0
ОФЗ 26240;1;20250715;160600;62;62;62;62;8;0
ОФЗ 26240;1;20250715;160700;62.033;62.033;62.006;62.006;7;0
ОФЗ 26240;1;20250715;160800;62.042;62.042;62.006;62.006;18;0
ОФЗ 26240;1;20250715;161000;62.005;62.005;62.003;62.003;17;0
ОФЗ 26240;1;20250715;161100;62.062;62.062;62.009;62.01;8;0
ОФЗ 26240;1;20250715;161200;62.058;62.058;62.056;62.056;4;0
ОФЗ 26240;1;20250715;161300;62.02;62.062;62.017;62.062;8;0
ОФЗ 26240;1;20250715;161400;62.061;62.061;62.059;62.059;10;0
ОФЗ 26240;1;20250715;161500;62.056;62.07;62.056;62.07;108;0
ОФЗ 26240;1;20250715;161600;62.028;62.07;62.028;62.07;5;0
ОФЗ 26240;1;20250715;161700;62.033;62.07;62.032;62.07;6;0
ОФЗ 26240;1;20250715;161800;62.07;62.07;62.07;62.07;13;0
ОФЗ 26240;1;20250715;162000;62.07;62.085;62.039;62.08;89;0
ОФЗ 26240;1;20250715;162100;62.04;62.078;62.04;62.04;402;0
ОФЗ 26240;1;20250715;162200;62.038;62.078;62.038;62.039;5;0
ОФЗ 26240;1;20250715;162300;62.073;62.089;62.035;62.036;325;0
ОФЗ 26240;1;20250715;162400;62.037;62.072;62.035;62.072;91;0
ОФЗ 26240;1;20250715;162500;62.066;62.067;62.036;62.036;400;0
ОФЗ 26240;1;20250715;162600;62.036;62.087;62.036;62.08;1135;0
ОФЗ 26240;1;20250715;162700;62.048;62.089;62.048;62.089;16;0
ОФЗ 26240;1;20250715;162800;62.077;62.078;62.048;62.048;4;0
ОФЗ 26240;1;20250715;162900;62.042;62.078;62.041;62.078;109;0
ОФЗ 26240;1;20250715;163000;62.078;62.078;62.045;62.077;56;0
ОФЗ 26240;1;20250715;163100;62.077;62.077;62.076;62.076;28;0
ОФЗ 26240;1;20250715;163200;62.048;62.048;62.04;62.04;1000;0
ОФЗ 26240;1;20250715;163300;62.075;62.076;62.075;62.075;11;0
ОФЗ 26240;1;20250715;163400;62.075;62.075;62.075;62.075;2;0
ОФЗ 26240;1;20250715;163500;62.074;62.1;62.073;62.1;28038;0
ОФЗ 26240;1;20250715;163600;62.065;62.109;62.065;62.109;17;0
ОФЗ 26240;1;20250715;163700;62.109;62.116;62.087;62.116;54;0
ОФЗ 26240;1;20250715;163800;62.116;62.116;62.11;62.11;12;0
ОФЗ 26240;1;20250715;163900;62.09;62.09;62.09;62.09;43;0
ОФЗ 26240;1;20250715;164000;62.09;62.09;62.09;62.09;9;0
ОФЗ 26240;1;20250715;164100;62.089;62.089;62.089;62.089;132;0
ОФЗ 26240;1;20250715;164200;62.09;62.09;62.09;62.09;42;0
ОФЗ 26240;1;20250715;164300;62.09;62.116;62.09;62.116;397;0
ОФЗ 26240;1;20250715;164400;62.115;62.124;62.115;62.124;13;0
ОФЗ 26240;1;20250715;164500;62.124;62.127;62.1;62.127;139;0
ОФЗ 26240;1;20250715;164600;62.127;62.127;62.102;62.102;13;0
