dt,z,beta,vol_scale,z_enter_eff,z_exit_eff,pos_coef,hedge_close,sber_close,sber_qty,hedge_qty,pos_change,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum
2025-07-21 10:04:00,-1.185669545638579,1.8712421398598227,1.0,2.4749999999999996,0.5,0.0,63.524,312.49,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:05:00,-5.627256037142908,1.8700343882995187,1.0,1.75,0.4,0.0,63.528,311.6,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:06:00,-1.7430546604881705,1.8595280245795507,1.0,2.3132123186632714,0.48038937195918446,0.0,63.573,311.73,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:07:00,-1.9633266824553566,1.8609222947413013,1.0,2.3132123186632714,0.48038937195918446,0.0,63.572,311.4,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:08:00,0.27971919181572463,1.8676089762416543,1.0,2.3132123186632714,0.48038937195918446,0.0,63.571,311.45,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:09:00,-0.6617978355030252,1.8689757255967583,1.0,1.75,0.4,0.0,63.573,311.37,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:10:00,-0.7269104521378007,1.8692576452494116,1.0,1.75,0.4,0.0,63.573,311.26,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:11:00,1.0609420760755603,1.8684550035431158,1.0,1.75,0.4,0.0,63.573,311.45,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:12:00,-0.02310570607650077,1.8685099258903646,1.0,1.75,0.4,0.0,63.571,311.44,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:13:00,-0.359547591162705,1.8684002584098038,1.0,1.75,0.4,0.0,63.572,311.4,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:14:00,0.4653683707027442,1.8676295009608233,1.0,1.75,0.4,0.0,63.571,311.48,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:15:00,-0.06502924182357246,1.8678920494477722,1.0,1.75,0.4,0.0,63.571,311.48,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:16:00,0.9017193694336892,1.8683862488447516,1.0,1.75,0.4,0.0,63.572,311.65,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:17:00,0.11432690242122386,1.8678615141525372,1.0,1.75,0.4,0.0,63.572,311.68,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:18:00,-0.6019686778113191,1.867859800718628,1.0,1.75,0.4,0.0,63.573,311.6,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:19:00,-0.7227238409172644,1.8681479149695366,1.0,1.75,0.4,0.0,63.573,311.49,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:20:00,-1.1338647548910485,1.8685212188662728,1.0,1.75,0.4,0.0,63.573,311.31,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
2025-07-21 10:21:00,-5.004155068034311,1.8008324561400633,1.0,1.75,0.4,0.0,63.662,311.22,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,703004.2298743636
