dt,sber_close,hedge_close,beta,z,vol_scale,spread_vol,pos_dir,pos_coef,z_enter_eff,z_exit_eff,pos_change,sber_qty,hedge_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-07-17 16:05:00,325.71,62.8,0.11706480701485084,1.7364160600428984,1.0,0.0003664317027100787,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:06:00,325.91,62.795,0.11385900386864069,1.7404824045078802,1.0,0.00036857242690845965,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:07:00,325.79,62.76,0.1458335734922609,-0.7232742464860363,1.0,0.0003688434814813125,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:08:00,325.94,62.789,0.10760732399989897,1.161630762587418,1.0,0.0003697983811554554,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:09:00,325.8,62.79,0.1159347733155198,-1.1146825050235456,1.0,0.0003699413238858673,0,0.0,1.75,0.4,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:11:00,325.97,62.79,0.11691336332060746,1.4492219441905796,1.0,0.0003715768126820146,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,901634.7432349861,982812.9141092207,-81178.17087423464,0.0
2025-07-17 16:12:00,325.65,62.79,0.13465167704128966,-2.5535614562000073,1.0,0.0003765933201420742,1,0.7295889874857163,1.75,0.4,1.0,112020.41877563586,-580975.4638363724,-0.0,-0.9512937595129394,-72.95889874857163,-73.91019250808456,901560.833042478,982812.9141092207,-81252.08106674277,-7.391019250808456e-07
2025-07-17 16:13:00,325.56,62.79,0.12214768144413847,-0.6775010364835389,1.0,0.00037695131717705235,1,0.7295889874857163,1.9509554573378578,0.43647944937428584,0.0,112051.38645498776,-580975.4638363724,-10081.837689804426,7.37504586071446,-0.010081837689805513,-10074.472725781403,891486.3603166966,982812.9141092207,-91326.55379252415,-0.00010074472725781403
2025-07-17 16:15:00,325.87,62.79,0.10007670345237825,2.5424881595915276,1.0,0.00038166134837684413,0,0.0,1.9509554573378578,0.43647944937428584,-1.0,0.0,-0.0,34735.92980104646,8.336571987234443,-72.99363467837267,34671.27273835532,926157.6330550519,982812.9141092207,-56655.28105416882,0.00034671272738355323
2025-07-17 16:16:00,325.94,62.79,0.05062694061702695,0.6113304461088401,1.0,0.00038149304020249807,0,0.0,1.75,0.4,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,926157.6330550519,982812.9141092207,-56655.28105416882,0.0
